%the feature of form
@relation 'formfeature'
@attribute numOfButton numeric
@attribute numOfImage numeric
@attribute numOfFile numeric
@attribute numOfText numeric
@attribute numOfCheckbox numeric
@attribute numOfRadio numeric
@attribute havePassword {yes,no}
@attribute numOfHidden numeric
@attribute numOfReset numeric
@attribute haveSubmit {yes,no}
@attribute numOfSelect numeric
@attribute numOfTextarea numeric
@attribute numOfObject numeric
@attribute numOfLabel numeric
@attribute numOfLegend numeric
@attribute method {get,post,unknown}
@attribute havePositiveWord {yes,no}
@attribute haveNegativeWord {yes,no}
@attribute result {test}
@data
0,0,0,0,0,0,no,0,0,no,0,0,0,0,0,post,yes,no,test
0,0,0,1,0,0,yes,2,0,yes,0,0,0,0,0,post,yes,no,test
0,1,0,1,0,0,yes,0,0,yes,0,0,0,0,0,get,yes,no,test
0,1,0,1,0,0,yes,1,0,yes,0,1,0,0,0,post,yes,yes,test
0,1,0,1,0,0,yes,0,0,yes,0,0,0,0,0,get,yes,no,test
0,1,0,1,0,0,yes,1,0,yes,0,1,0,0,0,post,yes,yes,test
0,1,0,1,0,0,yes,0,0,yes,0,0,0,0,0,get,yes,no,test
0,1,0,1,0,0,yes,1,0,yes,0,1,0,0,0,post,yes,yes,test
0,0,0,0,0,0,no,0,0,no,1,0,0,0,0,post,yes,no,test
0,1,0,1,0,0,yes,0,0,yes,0,0,0,0,0,post,yes,no,test
0,0,0,0,0,0,no,0,0,no,1,0,0,0,0,post,yes,no,test
0,1,0,0,0,0,yes,14,0,yes,0,0,0,0,0,post,yes,no,test
0,1,0,0,0,0,yes,16,0,yes,1,0,0,0,0,post,no,no,test
0,1,0,0,0,0,yes,16,0,yes,1,0,0,0,0,post,no,no,test
0,1,0,0,0,0,yes,14,0,yes,0,0,0,0,0,post,no,no,test
0,1,0,0,0,0,yes,16,0,yes,1,0,0,0,0,post,no,no,test
0,1,0,0,0,0,yes,16,0,yes,1,0,0,0,0,post,no,no,test
0,1,0,0,0,0,yes,16,0,yes,1,0,0,0,0,post,yes,no,test
0,1,0,0,0,0,yes,16,0,yes,1,0,0,0,0,post,no,no,test
0,1,0,0,0,0,yes,16,0,yes,1,0,0,0,0,post,no,no,test
0,1,0,0,0,0,yes,16,0,yes,1,0,0,0,0,post,no,no,test
0,1,0,0,0,0,yes,16,0,yes,1,0,0,0,0,post,no,no,test
0,1,0,0,0,0,yes,14,0,yes,0,0,0,0,0,post,no,no,test
0,1,0,0,0,0,yes,14,0,yes,0,0,0,0,0,post,no,no,test
0,1,0,0,0,0,yes,16,0,yes,1,0,0,0,0,post,no,no,test
0,1,0,0,0,0,yes,16,0,yes,1,0,0,0,0,post,no,no,test
0,1,0,0,0,0,yes,14,0,yes,0,0,0,0,0,post,no,no,test
0,1,0,1,0,0,yes,0,0,yes,0,0,0,0,0,get,yes,no,test
0,0,0,0,0,0,yes,1,0,yes,0,0,0,0,0,post,yes,no,test
0,0,0,1,0,0,yes,1,0,yes,0,0,0,0,0,post,yes,yes,test
0,1,0,1,0,0,yes,10,0,yes,0,0,0,0,0,get,yes,yes,test
0,0,0,0,0,0,yes,8,0,yes,1,0,0,0,0,get,yes,no,test
0,1,0,1,0,0,yes,4,0,yes,0,0,0,0,0,post,yes,yes,test
0,0,0,0,0,0,no,0,0,no,0,0,0,0,0,post,yes,no,test
0,0,0,0,0,0,no,0,0,no,1,0,0,0,0,unknown,yes,no,test
0,1,0,1,0,0,yes,0,0,yes,0,0,0,0,1,get,yes,no,test
1,0,0,0,0,0,yes,0,0,yes,1,0,0,0,0,unknown,yes,no,test
0,0,0,1,0,0,yes,1,0,yes,0,0,0,1,1,post,yes,yes,test
0,0,0,1,0,0,yes,0,0,yes,0,0,0,0,0,post,yes,no,test
0,0,0,1,0,0,yes,0,0,yes,0,0,0,1,0,get,yes,no,test
0,0,0,1,0,0,yes,3,0,yes,0,0,0,0,0,get,yes,no,test
0,1,0,0,0,0,yes,3,0,yes,0,0,0,0,0,post,no,no,test
0,0,0,0,0,0,no,0,0,no,1,0,0,0,0,unknown,no,no,test
0,0,0,0,0,0,yes,2,0,yes,0,0,0,0,0,post,yes,no,test
0,0,0,1,0,0,yes,0,0,yes,0,0,0,0,0,get,yes,no,test
0,0,0,0,0,0,no,0,0,no,1,0,0,0,0,get,yes,no,test
0,1,0,2,0,0,yes,0,0,yes,0,0,0,0,0,get,yes,yes,test
